sample_id	taxon	location	country	plate	well_letter	well_number	latitude	longitude
BF_LGT_23_6	Ae. aegypti	1200 logement	Burkina Faso	1	G	9	12.3689	-1.4975
NIG_NRG_1_2	Ae. aegypti	Niamey Rive Gauche	Niger 	1	G	10	13.5137	2.1098
NIG_NRG_1_10	Ae. aegypti	Niamey Rive Gauche	Niger 	1	G	11	13.5137	2.1098
BFA_BFR_20_2_2	Ae. aegypti	Banfora/Sect 1	Burkina Faso	1	G	12	10.6333	-4.7667
GMB_BRI_8_1	Ae. formosus	Brikama Town	Gambia	1	H	1	13.267	-16.6494
GMB_KAN_1_1	Ae. formosus	Kanifing Institutional Layout	Gambia	1	H	2	13.4386	-16.6762
GHN_DAM_4_4	Ae. formosus	Damango	Ghana	1	H	3	9.083	-1.817
GHN_DAM_13_4	Ae. formosus	Damango	Ghana	1	H	4	9.083	-1.817
NGA_IlO_10_4	Ae. aegypti	Ilorin	Nigeria	1	H	5	8.5	4.55
NCT1	NA	NCT1	NCT1	1	H	6	0	0
TG_DJA_1_1	Ae. aegypti	DJABLE	Togo	1	H	7	6.333	1.017
TG_HAN_7_3	Ae. aegypti	HANOUKOPE	Togo	1	H	8	6.1352	1.2189
BF_LGT_23_7	Ae. aegypti	1200 logement	Burkina Faso	1	H	9	12.3689	-1.4975
NIG_NRG_1_3	Ae. aegypti	Niamey Rive Gauche	Niger 	1	H	10	13.5137	2.1098
NIG_NRG_2_1	Ae. aegypti	Niamey Rive Gauche	Niger 	1	H	11	13.5137	2.1098
NCT2	NA	NCT2	NCT2	1	H	12	0	0
BRA_1	Ae. aegypti	Brazil	Brazil	5	A	1	-5.40258	-36.954105
BRA_2	Ae. aegypti	Brazil	Brazil	5	B	1	-5.40258	-36.954105
BRA_3	Ae. aegypti	Brazil	Brazil	5	C	1	-5.40258	-36.954105
BRA_4	Ae. aegypti	Brazil	Brazil	5	D	1	-5.40258	-36.954105
BRA_5	Ae. aegypti	Brazil	Brazil	5	E	1	-5.40258	-36.954105
BRA_6	Ae. aegypti	Brazil	Brazil	5	F	1	-5.40258	-36.954105
BRA_7	Ae. aegypti	Brazil	Brazil	5	G	1	-5.40258	-36.954105
BRA_8	Ae. aegypti	Brazil	Brazil	5	H	1	-5.40258	-36.954105
